driver_number,driver_name,lap_number,stint_number,compound,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,lap_duration
1,VER,19,3,MEDIUM,28.919,41.868,27.792,284.0,253,98.579
55,SAI,9,2,SOFT,27.051,38.945,26.124,311.0,278,92.12
16,LEC,24,4,HARD,36.085,57.24,48.223,179.0,145,141.548
81,PIA,10,2,SOFT,35.875554819720385,50.05,31.303,247.0,248,640.731
55,SAI,14,3,MEDIUM,28.294,40.867,35.869,252.29595222295953,261,105.03
14,ALO,4,1,HARD,39.617,69.859,41.947,211.0,245,151.423
16,LEC,14,4,SOFT,27.048,54.428,49.262,312.0,113,130.738
11,PER,10,3,MEDIUM,48.044,69.62,39.691,146.0,221,157.355
18,STR,24,3,MEDIUM,36.515,52.505,47.723,172.0,156,136.743
16,LEC,8,1,HARD,27.996,40.569,27.264,307.0,275,95.829
